1,twilight-struggle,12333,(2005),Twilight Struggle
2,puerto-rico,3076,(2002),Puerto Rico
3,through-the-ages-a-story-of-civilization,25613,(2006),Through the Ages: A Story of Civilization
4,agricola,31260,(2007),Agricola
5,power-grid,2651,(2004),Power Grid
6,le-havre,35677,(2008),Le Havre
7,dominion-intrigue,40834,(2009),Dominion: Intrigue
8,brass,28720,(2007),Brass
9,dominion,36218,(2008),Dominion
10,caylus,18602,(2005),Caylus
11,7-wonders,68448,(2010),7 Wonders
12,el-grande,93,(1995),El Grande
13,race-for-the-galaxy,28143,(2007),Race for the Galaxy
14,tigris-euphrates,42,(1997),Tigris & Euphrates
15,war-of-the-ring,9609,(2004),War of the Ring
16,steam,27833,(2009),Steam
17,dominant-species,62219,(2010),Dominant Species
18,battlestar-galactica,37111,(2008),Battlestar Galactica
19,paths-of-glory,91,(1999),Paths of Glory
20,commands-colors-ancients,14105,(2006),Commands & Colors: Ancients
21,age-of-steam,4098,(2002),Age of Steam
22,the-princes-of-florence,555,(2000),The Princes of Florence
23,war-of-the-ring-collectors-edition,60153,(2010),War of the Ring Collector's Edition
24,combat-commander-europe,21050,(2006),Combat Commander: Europe
25,stone-age,34635,(2008),Stone Age
26,hannibal-rome-vs-carthage,234,(1996),Hannibal: Rome vs. Carthage
27,twilight-imperium-third-edition,12493,(2005),Twilight Imperium (third edition)
28,goa,9216,(2004),Goa
29,sid-meiers-civilization-the-board-game,77130,(2010),Sid Meier's Civilization: The Board Game
30,crokinole,521,(1867),Crokinole
31,here-i-stand,17392,(2006),Here I Stand
32,runewars,59294,(2010),Runewars
33,troyes,73439,(2010),Troyes
34,pandemic,30549,(2008),Pandemic
35,tichu,215,(1991),Tichu
36,shogun,20551,(2006),Shogun
37,chaos-in-the-old-world,43111,(2009),Chaos in the Old World
38,earth-reborn,73171,(2010),Earth Reborn
39,glenn-drovers-empires-the-age-of-discovery,22545,(2007),Glenn Drover's Empires: The Age of Discovery
40,imperial,24181,(2006),Imperial
41,railroad-tycoon,17133,(2005),Railroad Tycoon
42,go,188,(-2200),Go
43,die-macher,1,(1986),Die Macher
44,ra,12,(1999),Ra
45,hansa-teutonica,43015,(2009),Hansa Teutonica
46,1960-the-making-of-the-president,27708,(2007),1960: The Making of the President
47,small-world,40692,(2009),Small World
48,claustrophobia,36932,(2009),Claustrophobia
49,dungeon-lords,45315,(2009),Dungeon Lords
50,the-lord-of-the-rings-the-card-game,77423,(2011),The Lord of the Rings: The Card Game
51,a-few-acres-of-snow,79828,(2011),A Few Acres of Snow
52,space-alert,38453,(2008),Space Alert
53,advanced-squad-leader,243,(1985),Advanced Squad Leader
54,navegador,66589,(2010),Navegador
55,memoir-44,10630,(2004),Memoir '44
56,blood-bowl-living-rulebook,15985,(2004),Blood Bowl: Living RuleBook
57,ticket-to-ride-nordic-countries,31627,(2007),Ticket to Ride: Nordic Countries
58,ticket-to-ride-europe,14996,(2005),Ticket to Ride: Europe
59,imperial-2030,54138,(2009),Imperial 2030
60,endeavor,33160,(2009),Endeavor
61,yinsh,7854,(2003),YINSH
62,arkham-horror,15987,(2005),Arkham Horror
63,conflict-of-heroes-awakening-the-bear-russia-1941,24800,(2008),Conflict of Heroes: Awakening the Bear! Russia 1941-1942
64,galaxy-trucker,31481,(2007),Galaxy Trucker
65,railways-of-the-world,38479,(2009),Railways of the World
66,battlelore,25417,(2006),BattleLore
67,merchants-marauders,25292,(2010),Merchants & Marauders
68,dixit,39856,(2008),Dixit
69,napoleons-triumph,18098,(2007),Napoleon's Triumph
70,samurai,3,(1998),Samurai
71,descent-journeys-in-the-dark,17226,(2005),Descent: Journeys in the Dark
72,wallenstein,3307,(2002),Wallenstein
73,hammer-of-the-scots,3685,(2002),Hammer of the Scots
74,ticket-to-ride,9209,(2004),Ticket to Ride
75,the-settlers-of-catan,13,(1995),The Settlers of Catan
76,civilization,71,(1980),Civilization
77,dune,121,(1979),Dune
78,glory-to-rome,19857,(2005),Glory to Rome
79,battle-line,760,(2000),Battle Line
80,space-hulk-third-edition,54625,(2009),Space Hulk (third edition)
81,indonesia,19777,(2005),Indonesia
82,thunderstone-dragonspire,85897,(2011),Thunderstone: Dragonspire
83,carcassonne,822,(2000),Carcassonne
84,struggle-of-empires,9625,(2004),Struggle of Empires
85,cosmic-encounter,39463,(2008),Cosmic Encounter
86,alien-frontiers,48726,(2010),Alien Frontiers
87,mansions-of-madness,83330,(2011),Mansions of Madness
88,in-the-year-of-the-dragon,31594,(2007),In the Year of the Dragon
89,up-front,586,(1983),Up Front
90,amun-re,5404,(2003),Amun-Re
